TGNR	code_count	codes	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
720708-18	0		ERR10177468	SAMEA111331740	ERX9713937	2018	True	4
720711-18	0		ERR10177469	SAMEA111331741	ERX9713938	2018	True	4
720724-18	0		ERR10177470	SAMEA111331742	ERX9713939	2018	True	4
720729-18	0		ERR10177471	SAMEA111331743	ERX9713940	2018	True	4
720748-18	0		ERR10177472	SAMEA111331744	ERX9713941	2018	True	4
720753-18	0		ERR10177473	SAMEA111331745	ERX9713942	2018	True	4
720755-18	0		ERR10177474	SAMEA111331746	ERX9713943	2018	True	4
720762-18	0		ERR10177476	SAMEA111331748	ERX9713945	2018	True	4
720783-18	0		ERR10177477	SAMEA111331749	ERX9713946	2018	True	4
720805-18	0		ERR10177478	SAMEA111331750	ERX9713947	2018	True	4
720812-18	0		ERR10177479	SAMEA111331751	ERX9713948	2018	True	4
720815-18	0		ERR10177480	SAMEA111331752	ERX9713949	2018	True	4
720824-18	0		ERR10177481	SAMEA111331753	ERX9713950	2018	True	4
720829-18	0		ERR10177482	SAMEA111331754	ERX9713951	2018	True	4
720834-18	0		ERR10177483	SAMEA111331755	ERX9713952	2018	True	4
720836-18	0		ERR10177484	SAMEA111331756	ERX9713953	2018	True	4
720844-18	0		ERR10177485	SAMEA111331757	ERX9713954	2018	True	4
720848-18	0		ERR10177486	SAMEA111331758	ERX9713955	2018	True	4
720857-18	0		ERR10177488	SAMEA111331760	ERX9713957	2018	True	4
720875-18	0		ERR10177489	SAMEA111331761	ERX9713958	2018	True	4
720876-18	0		ERR10177490	SAMEA111331762	ERX9713959	2018	True	4
720890-18	0		ERR10177492	SAMEA111331764	ERX9713961	2018	True	4
720894-18	0		ERR10177493	SAMEA111331765	ERX9713962	2018	True	4
720902-18	0		ERR10177496	SAMEA111331768	ERX9713965	2018	True	4
720916-18	0		ERR10177497	SAMEA111331769	ERX9713966	2018	True	5
720919-18	0		ERR10177498	SAMEA111331770	ERX9713967	2018	True	4
720927-18	0		ERR10177499	SAMEA111331771	ERX9713968	2018	True	4
720931-18	0		ERR10177500	SAMEA111331772	ERX9713969	2018	True	4
720933-18	0		ERR10177501	SAMEA111331773	ERX9713970	2018	True	5
720947-18	0		ERR10177502	SAMEA111331774	ERX9713971	2018	True	4
720950-18	0		ERR10177503	SAMEA111331775	ERX9713972	2018	True	4
720953-18	0		ERR10177504	SAMEA111331776	ERX9713973	2018	True	4
720954-18	0		ERR10177505	SAMEA111331777	ERX9713974	2018	True	4
720965-18	0		ERR10177506	SAMEA111331778	ERX9713975	2018	True	4
720968-18	0		ERR10177507	SAMEA111331779	ERX9713976	2018	True	4
720970-18	0		ERR10177508	SAMEA111331780	ERX9713977	2018	True	4
720989-18	0		ERR10177512	SAMEA111331784	ERX9713981	2018	True	4
721001-18	0		ERR10177514	SAMEA111331786	ERX9713983	2018	True	4
721003-18	0		ERR10177515	SAMEA111331787	ERX9713984	2018	True	4
721147-18	0		ERR10177522	SAMEA111331794	ERX9713991	2018	True	4
721159-18	0		ERR10177523	SAMEA111331795	ERX9713992	2018	True	4
721171-18	0		ERR10177524	SAMEA111331796	ERX9713993	2018	True	4
721186-18	0		ERR10177525	SAMEA111331797	ERX9713994	2018	True	4
721189-18	0		ERR10177526	SAMEA111331798	ERX9713995	2018	True	4
721192-18	0		ERR10177527	SAMEA111331799	ERX9713996	2018	True	4
721194-18	0		ERR10177528	SAMEA111331800	ERX9713997	2018	True	0
721197-18	0		ERR10177531	SAMEA111331803	ERX9714000	2018	True	6
721199-18	0		ERR10177532	SAMEA111331804	ERX9714001	2018	True	4
721211-18	0		ERR10177533	SAMEA111331805	ERX9714002	2018	True	5
721225-18	0		ERR10177534	SAMEA111331806	ERX9714003	2018	True	4
721232-18	0		ERR10177535	SAMEA111331807	ERX9714004	2018	True	4
721254-18	0		ERR10177536	SAMEA111331808	ERX9714005	2018	True	4
721258-18	0		ERR10177537	SAMEA111331809	ERX9714006	2018	True	4
721260-18	0		ERR10177538	SAMEA111331810	ERX9714007	2018	True	4
721264-18	0		ERR10177539	SAMEA111331811	ERX9714008	2018	True	4
721272-18	0		ERR10177540	SAMEA111331812	ERX9714009	2018	True	4
721291-18	0		ERR10177541	SAMEA111331813	ERX9714010	2018	True	4
721293-18	0		ERR10177542	SAMEA111331814	ERX9714011	2018	True	4
721294-18	0		ERR10177543	SAMEA111331815	ERX9714012	2018	True	4
721296-18	0		ERR10177544	SAMEA111331816	ERX9714013	2018	True	4
721299-18	0		ERR10177545	SAMEA111331817	ERX9714014	2018	True	8
721303-18	0		ERR10177546	SAMEA111331818	ERX9714015	2018	True	4
721304-18	0		ERR10177547	SAMEA111331819	ERX9714016	2018	True	4
721318-18	0		ERR10177548	SAMEA111331820	ERX9714017	2018	True	4
721334-18	0		ERR10177549	SAMEA111331821	ERX9714018	2018	True	4
721335-18	0		ERR10177550	SAMEA111331822	ERX9714019	2018	True	4
721342-18	0		ERR10177551	SAMEA111331823	ERX9714020	2018	True	4
721343-18	0		ERR10177552	SAMEA111331824	ERX9714021	2018	True	4
721369-18	0		ERR10177553	SAMEA111331825	ERX9714022	2018	True	4
721373-18	0		ERR10177554	SAMEA111331826	ERX9714023	2018	True	4
721379-18	0		ERR10177555	SAMEA111331827	ERX9714024	2018	True	4
721402-18	0		ERR10177556	SAMEA111331828	ERX9714025	2018	True	4
721428-18	0		ERR10177557	SAMEA111331829	ERX9714026	2018	True	4
721440-18	0		ERR10177558	SAMEA111331830	ERX9714027	2018	True	4
721443-18	0		ERR10177559	SAMEA111331831	ERX9714028	2018	True	4
721446-18	0		ERR10177560	SAMEA111331832	ERX9714029	2018	True	4
721454-18	0		ERR10177561	SAMEA111331833	ERX9714030	2018	True	4
