archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/143923ed_c622_47db_9362_93073f4c27ef_G7.csv	143923ed_c622_47db_9362_93073f4c27ef_G7	714049-18	uuid_mapped	True
csv_median/145816_18_B1.csv	145816_18_B1	145816-18	numeric_tgnr	True
csv_median/719964_18_E8.csv	719964_18_E8	719964-18	numeric_tgnr	True
csv_median/2019_02_21T14_01_57_E2_6.csv	2019_02_21T14_01_57_E2_6	2019-02-21T14-01-57	unmapped_other	False
csv_median/712190_18_A11.csv	712190_18_A11	712190-18	numeric_tgnr	True
csv_median/720894_18_B4.csv	720894_18_B4	720894-18	numeric_tgnr	True
csv_median/125859_18_E11.csv	125859_18_E11	125859-18	numeric_tgnr	True
csv_median/141714_18_C5_2.csv	141714_18_C5_2	141714-18	numeric_tgnr	True
csv_median/709204_18_C5.csv	709204_18_C5	709204-18	numeric_tgnr	True
csv_median/132090_18_C2.csv	132090_18_C2	132090-18	numeric_tgnr	True
csv_median/126737_18_C11.csv	126737_18_C11	126737-18	numeric_tgnr	True
csv_median/721600_18_B4.csv	721600_18_B4	721600-18	numeric_tgnr	True
csv_median/721792_18_G6.csv	721792_18_G6	721792-18	numeric_tgnr	True
csv_median/720876_18_G11.csv	720876_18_G11	720876-18	numeric_tgnr	True
csv_median/141458_18_B6.csv	141458_18_B6	141458-18	numeric_tgnr	True
csv_median/720812_18_D8.csv	720812_18_D8	720812-18	numeric_tgnr	True
csv_median/123488_18_G4.csv	123488_18_G4	123488-18	numeric_tgnr	True
csv_median/722798_18_B10.csv	722798_18_B10	722798-18	numeric_tgnr	True
csv_median/f19d2699_9130_4e58_b3d1_43aa0aea19a9_A8.csv	f19d2699_9130_4e58_b3d1_43aa0aea19a9_A8	131185-18	uuid_mapped	True
csv_median/721672_18_A3.csv	721672_18_A3	721672-18	numeric_tgnr	True
csv_median/718546_18_C12.csv	718546_18_C12	718546-18	numeric_tgnr	True
csv_median/BTS_Validation_E1_05.csv	BTS_Validation_E1_05	BTS-Validation	unmapped_other	False
csv_median/720223_18_A10_3.csv	720223_18_A10_3	720223-18	numeric_tgnr	True
csv_median/721373_18_F10.csv	721373_18_F10	721373-18	numeric_tgnr	True
csv_median/721294_18_A3.csv	721294_18_A3	721294-18	numeric_tgnr	True
csv_median/720508_18_B5.csv	720508_18_B5	720508-18	numeric_tgnr	True
csv_median/721861_18_B7.csv	721861_18_B7	721861-18	numeric_tgnr	True
csv_median/721192_18_D2.csv	721192_18_D2	721192-18	numeric_tgnr	True
csv_median/121362_18_C12.csv	121362_18_C12	121362-18	numeric_tgnr	True
csv_median/719925_18_C9.csv	719925_18_C9	719925-18	numeric_tgnr	True
csv_median/537f5ab4_6260_497c_99d2_c847e88d5d1c_B4.csv	537f5ab4_6260_497c_99d2_c847e88d5d1c_B4	713751-18	uuid_mapped	True
csv_median/717614_18_D6.csv	717614_18_D6	717614-18	numeric_tgnr	True
csv_median/127487_18_A4.csv	127487_18_A4	127487-18	numeric_tgnr	True
csv_median/721369_18_F7.csv	721369_18_F7	721369-18	numeric_tgnr	True
csv_median/117796_18_A3.csv	117796_18_A3	117796-18	numeric_tgnr	True
csv_median/720711_18_E7.csv	720711_18_E7	720711-18	numeric_tgnr	True
csv_median/139865_18_D10.csv	139865_18_D10	139865-18	numeric_tgnr	True
csv_median/721861_18_B6.csv	721861_18_B6	721861-18	numeric_tgnr	True
csv_median/122060_18_E9.csv	122060_18_E9	122060-18	numeric_tgnr	True
csv_median/720661_18_H2.csv	720661_18_H2	720661-18	numeric_tgnr	True
csv_median/BTS_Validation_E3_13.csv	BTS_Validation_E3_13	BTS-Validation	unmapped_other	False
csv_median/721719_18_D10.csv	721719_18_D10	721719-18	numeric_tgnr	True
csv_median/2019_02_21T13_13_10_E2_9.csv	2019_02_21T13_13_10_E2_9	2019-02-21T13-13-10	unmapped_other	False
csv_median/141891_18_B11.csv	141891_18_B11	141891-18	numeric_tgnr	True
