threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,DRIAMS-D,Escherichia coli,Cefepime,0.7687533912099838,nan,nan,0.2750158301030471,0.6475716064757161,nan,nan,0.8634782150941557,0.6046077210460772,nan,nan,0.667458432304038,421,nan,nan,nan,0.04940197607904316,caution_low_n_matched_and_low_retention,caution_low_matched_support,1923,80,95,73,4,3,3,False
3,DRIAMS-D,Escherichia coli,Ceftazidime,0.7273743641343843,nan,nan,0.33218932013741503,0.7200121346951158,nan,nan,0.17973001082679124,0.5812518960461118,nan,nan,0.6682715454983149,6231,nan,nan,nan,0.8339204831404127,interpretable,partially_retained_or_uncertain,1987,178,1657,62,8,3,3,False
3,DRIAMS-D,Escherichia coli,Ceftriaxone,0.7258104429596635,nan,nan,0.3626331674094014,0.6716902613565651,nan,nan,0.061841875473281335,0.5923109831985065,nan,nan,0.5219829120683517,11236,nan,nan,nan,0.8219658976930793,interpretable,partially_retained_or_uncertain,1994,198,1639,32,6,3,3,False
3,DRIAMS-D,Escherichia coli,Ciprofloxacin,0.6705659689751912,nan,nan,0.36860511659183787,0.6668884380748787,nan,nan,0.35901828614529824,0.5959143162532993,nan,nan,0.6157231303353691,237917,nan,nan,nan,0.9840123775141826,interpretable,partially_retained_or_uncertain,1939,371,1908,354,10,3,3,False
5,A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,0.6503454753868687,nan,nan,0.442900868418299,0.6273592000744916,nan,nan,0.36728231971735226,0.5392943350547585,nan,nan,0.5460348276267796,67992,nan,nan,nan,0.9034381858083395,interpretable,background_driven_collapse,1367,383,1235,298,11,5,5,False
5,A-2018,Escherichia coli,Cefepime,0.8666358534169692,nan,nan,0.5439144552241646,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1230,65,0,0,0,5,5,False
5,A-2018,Escherichia coli,Ceftazidime,0.8377821753151569,nan,nan,0.4276352955513682,0.22727272727272727,nan,nan,0.7086042394462101,0.22727272727272727,nan,nan,0.22727272727272727,110,nan,nan,nan,0.021479713603818614,caution_low_n_matched_and_low_retention,caution_low_matched_support,1257,120,27,22,1,5,5,False
5,A-2018,Escherichia coli,Ceftriaxone,0.8632591009943299,nan,nan,0.6749766196297774,0.6567460317460317,nan,nan,0.5335333756125172,0.6527777777777778,nan,nan,0.8098591549295775,284,nan,nan,nan,0.03884892086330935,caution_low_n_matched_and_low_retention,caution_low_matched_support,1390,258,54,12,2,5,5,False
5,A-2018,Escherichia coli,Ciprofloxacin,0.822523887040838,nan,nan,0.6847206865458386,0.8362365591397849,nan,nan,0.6999707682686493,0.7050153609831029,nan,nan,0.7543085397674194,31043,nan,nan,nan,0.6148148148148148,interpretable,focal_signal_retained,1350,355,830,210,8,5,5,False
5,A-2018,Escherichia coli,Norfloxacin,0.7425875130616509,nan,nan,0.4930956022447849,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,439,87,0,0,0,5,5,False
