sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,A-2018,Staphylococcus aureus,Erythromycin,0.591863,,,0.238672,0.536956,,,0.134647,0.490138,,,0.591272,8387,,,,0.834495,interpretable,weak_raw_signal,1148,181,958,103,9,3,3,False
3,A-2018,Staphylococcus aureus,Fusidic acid,0.570416,,,0.096779,0.576615,,,0.140976,0.521387,,,0.484645,13416,,,,0.755738,interpretable,weak_raw_signal,1220,71,922,57,8,3,3,False
3,A-2018,Staphylococcus aureus,Gentamicin,0.689534,,,0.144613,0.770227,,,0.12044,0.504216,,,0.550027,1829,,,,0.517597,interpretable,background_driven_collapse,1165,28,603,17,5,3,3,False
3,A-2018,Staphylococcus aureus,Oxacillin,0.794721,,,0.649424,0.788229,,,0.693573,0.690489,,,0.690221,32110,,,,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False
3,A-2018,Staphylococcus aureus,Penicillin,0.640891,,,0.830264,0.598101,,,0.733835,0.596414,,,0.59282,110634,,,,0.777778,interpretable,partially_retained_or_uncertain,1134,812,882,579,8,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.683673,,,0.212321,0.638258,,,0.18546,0.638258,,,0.638258,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.564178,,,0.183126,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.577585,,,0.187185,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.66319,,,0.110114,0.657377,,,0.120729,0.59235,,,0.571956,1084,,,,0.557803,interpretable,partially_retained_or_uncertain,346,20,193,10,2,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.61875,,,0.0406785,0.501832,,,0.06185,0.501832,,,0.501832,273,,,,0.270115,caution_low_n_matched,caution_low_matched_support,348,8,94,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.774799,,,0.278532,0.811553,,,0.322582,0.811553,,,0.811553,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Penicillin,0.554957,,,0.709894,0.562951,,,0.714091,0.562693,,,0.579777,16170,,,,0.83908,interpretable,weak_raw_signal,348,227,292,190,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.630045,,,0.215207,0.676955,,,0.286473,0.639709,,,0.506559,3964,,,,0.825203,interpretable,focal_signal_retained,738,33,609,23,4,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.542777,,,0.187903,0.507841,,,0.109179,0.500144,,,0.516771,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.474021,,,0.037439,0.417236,,,0.0274155,0.418112,,,0.383986,3422,,,,0.814132,interpretable,weak_raw_signal,651,17,530,11,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.556662,,,0.0517925,0.642369,,,0.0957136,0.409517,,,0.331815,1317,,,,0.607046,interpretable,weak_raw_signal,738,15,448,9,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.655772,,,0.200428,0.615823,,,0.165746,0.622116,,,0.658681,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Penicillin,0.584588,,,0.799796,0.571144,,,0.770084,0.566544,,,0.549947,56189,,,,0.915989,interpretable,weak_raw_signal,738,547,676,488,5,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.758416,,,0.324865,0.779425,,,0.332739,0.721268,,,0.776447,44741,,,,0.844054,interpretable,focal_signal_retained,2161,138,1824,117,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.695956,,,0.597864,0.615385,,,0.864849,0.615385,,,0.615385,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.572875,,,0.301613,0.554354,,,0.256985,0.529463,,,0.532706,154115,,,,0.959078,interpretable,weak_raw_signal,1735,344,1664,302,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.53284,,,0.0205662,0.517865,,,0.0207975,0.487614,,,0.507336,4362,,,,0.547179,interpretable,weak_raw_signal,2162,25,1183,15,3,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Penicillin,0.602131,,,0.917923,0.591628,,,0.909861,0.596248,,,0.60159,86554,,,,0.940523,interpretable,partially_retained_or_uncertain,1530,1344,1439,1257,8,3,3,False
5,A-2018,Staphylococcus aureus,Ciprofloxacin,0.721608,,,0.424265,0.732523,,,0.4423,0.669383,,,0.664506,11568,,,,0.822485,interpretable,focal_signal_retained,1183,155,973,114,9,5,5,False
5,A-2018,Staphylococcus aureus,Clindamycin,0.568608,,,0.184421,0.548165,,,0.216818,0.473287,,,0.403827,6899,,,,0.712413,interpretable,weak_raw_signal,1144,149,815,77,6,5,5,False
5,A-2018,Staphylococcus aureus,Erythromycin,0.591863,,,0.238672,0.512851,,,0.154104,0.487585,,,0.592774,7362,,,,0.601045,interpretable,weak_raw_signal,1148,181,690,92,6,5,5,False
5,A-2018,Staphylococcus aureus,Fusidic acid,0.570416,,,0.096779,0.555833,,,0.155043,0.526991,,,0.484061,13081,,,,0.662295,interpretable,weak_raw_signal,1220,71,808,39,3,5,5,False
5,A-2018,Staphylococcus aureus,Gentamicin,0.689534,,,0.144613,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1165,28,0,0,0,5,5,False
5,A-2018,Staphylococcus aureus,Oxacillin,0.794721,,,0.649424,0.784694,,,0.689124,0.682106,,,0.689596,32026,,,,0.577143,interpretable,focal_signal_retained,1225,178,707,147,7,5,5,False
5,A-2018,Staphylococcus aureus,Penicillin,0.640891,,,0.830264,0.596244,,,0.727741,0.596806,,,0.592801,110543,,,,0.748677,interpretable,partially_retained_or_uncertain,1134,812,849,553,6,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.683673,,,0.212321,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,336,14,0,0,0,5,5,False
