sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,A-2018,Escherichia coli,Ciprofloxacin,0.827574,,,0.715522,0.844144,,,0.736416,0.652469,,,0.782301,31052,,,,0.619259,interpretable,focal_signal_retained,1350,355,836,213,9,3,3,False
3,A-2018,Escherichia coli,Norfloxacin,0.684953,,,0.471424,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,439,87,0,0,0,3,3,False
3,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.603686,,,0.458797,0.451507,,,0.18418,0.451507,,,0.451507,1526,,,,0.621212,interpretable,background_driven_collapse,198,61,123,14,1,3,3,False
3,DRIAMS-B,Escherichia coli,Cefepime,0.798906,,,0.523538,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,43,0,0,0,3,3,False
3,DRIAMS-B,Escherichia coli,Ceftazidime,0.817063,,,0.633869,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,3,3,False
3,DRIAMS-B,Escherichia coli,Ceftriaxone,0.835317,,,0.68484,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,3,3,False
3,DRIAMS-B,Escherichia coli,Ciprofloxacin,0.815159,,,0.721805,0.8,,,0.948946,0.8,,,0.8,100,,,,0.117925,caution_low_n_matched,caution_low_matched_support,212,58,25,20,1,3,3,False
3,DRIAMS-B,Escherichia coli,Norfloxacin,0.753006,,,0.659184,0.436697,,,0.0451512,0.436697,,,0.436697,545,,,,0.542857,interpretable,background_driven_collapse,210,69,114,5,1,3,3,False
3,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.559045,,,0.356799,0.606451,,,0.367577,0.532529,,,0.547692,24417,,,,0.892461,interpretable,weak_raw_signal,902,230,805,181,10,3,3,False
3,DRIAMS-C,Escherichia coli,Cefepime,0.564802,,,0.296279,0.199495,,,0.158663,0.272727,,,0.214286,126,,,,0.0771757,caution_low_n_matched_and_low_retention,caution_low_matched_support,609,113,47,11,3,3,3,False
3,DRIAMS-C,Escherichia coli,Ceftazidime,0.605888,,,0.22019,0.292308,,,0.0405959,0.292308,,,0.292308,195,,,,0.0748899,caution_low_n_matched_and_low_retention,caution_low_matched_support,908,139,68,3,1,3,3,False
3,DRIAMS-C,Escherichia coli,Ceftriaxone,0.649929,,,0.31399,0.763889,,,0.503422,0.768519,,,0.803419,117,,,,0.0361446,caution_low_n_matched_and_low_retention,caution_low_matched_support,913,148,33,9,2,3,3,False
3,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.804403,,,0.67342,0.795001,,,0.585374,0.682482,,,0.755457,7238,,,,0.476298,interpretable,focal_signal_retained,886,188,422,65,4,3,3,False
3,DRIAMS-C,Escherichia coli,Norfloxacin,0.785991,,,0.707209,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,442,118,0,0,0,3,3,False
3,DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.559239,,,0.216074,0.558437,,,0.202298,0.486938,,,0.515887,207464,,,,0.974423,interpretable,weak_raw_signal,1994,332,1943,309,11,3,3,False
3,DRIAMS-D,Escherichia coli,Cefepime,0.749695,,,0.211848,0.598381,,,0.843893,0.476339,,,0.610451,421,,,,0.049402,caution_low_n_matched_and_low_retention,caution_low_matched_support,1923,80,95,73,4,3,3,False
3,DRIAMS-D,Escherichia coli,Ceftazidime,0.703359,,,0.282504,0.636809,,,0.0982074,0.472323,,,0.665222,6231,,,,0.83392,interpretable,background_driven_collapse,1987,178,1657,62,8,3,3,False
