target,background_control,n,class_0,class_1,status,raw_auc,raw_auc_ci_low,raw_auc_ci_high,background_only_auc,background_only_auc_ci_low,background_only_auc_ci_high,centered_auc,centered_auc_drop,retained_n,retention,valid_groups,pairwise_within_group_accuracy,pairwise_comparisons,folds
ciprofloxacin_R,is_ST131_binary,350,297,53,ok,0.7547805094974906,0.6831376879044301,0.822874314876354,0.701797852741249,0.6063327935647642,0.7912831948517431,0.6251191156851534,0.1296613938123372,350,1.0,2,0.6635971223021583,6950,5
ciprofloxacin_R,ST,350,297,53,ok,0.7547805094974906,0.6831376879044301,0.822874314876354,0.8984499078838701,0.847050973998295,0.9483117639383732,0.5638792102206737,0.19090129927681698,125,0.35714285714285715,7,0.6708661417322834,635,5
ciprofloxacin_R,phylogroup_rough,350,297,53,ok,0.7547805094974906,0.6831376879044301,0.822874314876354,0.515310336065053,0.4417941625892062,0.5882015988468884,0.7617230854605993,-0.006942575963108655,325,0.9285714285714286,4,0.8059386433999437,7106,5
ceftriaxone_R,is_ST131_binary,360,330,30,ok,0.6887878787878788,0.5676278898099505,0.7885062466772993,0.7327272727272728,0.5994986468762369,0.8426394578311982,0.48777777777777775,0.20101010101010108,360,1.0,2,0.42319368548876746,3294,5
ceftriaxone_R,ST,360,330,30,ok,0.6887878787878788,0.5676278898099505,0.7885062466772993,0.8254545454545454,0.723058125411084,0.9106926586028753,0.5034965034965035,0.1852913752913753,147,0.4083333333333333,5,0.49325337331334335,667,5
ceftriaxone_R,phylogroup_rough,360,330,30,ok,0.6887878787878788,0.5676278898099505,0.7885062466772993,0.6122222222222222,0.5080331232356428,0.7023871527777777,0.6865051903114187,0.002282688476460182,319,0.8861111111111111,4,0.7707698999565028,4598,5
