sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,A-2018,Staphylococcus aureus,Erythromycin,0.630668,,,0.285524,0.599569,,,0.186452,0.539817,,,0.485513,8387,,,,0.834495,interpretable,background_driven_collapse,1148,181,958,103,9,3,3,False
3,A-2018,Staphylococcus aureus,Fusidic acid,0.646576,,,0.10192,0.661434,,,0.104416,0.628557,,,0.64274,13416,,,,0.755738,interpretable,focal_signal_retained,1220,71,922,57,8,3,3,False
3,A-2018,Staphylococcus aureus,Gentamicin,0.765831,,,0.115957,0.816202,,,0.13434,0.659305,,,0.569163,1829,,,,0.517597,interpretable,focal_signal_retained,1165,28,603,17,5,3,3,False
3,A-2018,Staphylococcus aureus,Oxacillin,0.838238,,,0.665199,0.831281,,,0.715239,0.762878,,,0.769511,32110,,,,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False
3,A-2018,Staphylococcus aureus,Penicillin,0.626836,,,0.82444,0.568711,,,0.720302,0.568614,,,0.556429,110634,,,,0.777778,interpretable,partially_retained_or_uncertain,1134,812,882,579,8,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.710736,,,0.24778,0.702652,,,0.0426758,0.702652,,,0.702652,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.585904,,,0.169651,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.605093,,,0.18753,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.660429,,,0.103019,0.662295,,,0.179985,0.569945,,,0.588561,1084,,,,0.557803,interpretable,partially_retained_or_uncertain,346,20,193,10,2,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.580147,,,0.0676256,0.315018,,,0.030117,0.315018,,,0.315018,273,,,,0.270115,caution_low_n_matched,caution_low_matched_support,348,8,94,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.775238,,,0.260976,0.863636,,,0.27763,0.863636,,,0.863636,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Penicillin,0.531911,,,0.668417,0.52678,,,0.657691,0.52678,,,0.532777,16170,,,,0.83908,interpretable,weak_raw_signal,348,227,292,190,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.576531,,,0.083435,0.634219,,,0.121089,0.590147,,,0.500757,3964,,,,0.825203,interpretable,weak_raw_signal,738,33,609,23,4,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.529565,,,0.145691,0.518998,,,0.119667,0.51574,,,0.539055,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.459733,,,0.024279,0.502715,,,0.0217892,0.504992,,,0.505845,3422,,,,0.814132,interpretable,weak_raw_signal,651,17,530,11,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.488704,,,0.0200927,0.599595,,,0.0269678,0.471779,,,0.44571,1317,,,,0.607046,interpretable,weak_raw_signal,738,15,448,9,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.725199,,,0.132116,0.703499,,,0.141011,0.699471,,,0.719428,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Penicillin,0.552208,,,0.776848,0.532645,,,0.742488,0.537408,,,0.533165,56189,,,,0.915989,interpretable,weak_raw_signal,738,547,676,488,5,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.656042,,,0.191893,0.661259,,,0.200549,0.63711,,,0.66724,44741,,,,0.844054,interpretable,focal_signal_retained,2161,138,1824,117,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.483088,,,0.3932,0.184615,,,0.601912,0.184615,,,0.184615,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,3,3,False
