sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,A-2018,Staphylococcus aureus,Erythromycin,0.607152,,,0.260039,0.603077,,,0.190641,0.46552,,,0.481459,8387,,,,0.834495,interpretable,background_driven_collapse,1148,181,958,103,9,3,3,False
3,A-2018,Staphylococcus aureus,Fusidic acid,0.621753,,,0.0955449,0.616631,,,0.107268,0.613102,,,0.650641,13416,,,,0.755738,interpretable,focal_signal_retained,1220,71,922,57,8,3,3,False
3,A-2018,Staphylococcus aureus,Gentamicin,0.643705,,,0.0559667,0.659205,,,0.0905746,0.501807,,,0.510662,1829,,,,0.517597,interpretable,background_driven_collapse,1165,28,603,17,5,3,3,False
3,A-2018,Staphylococcus aureus,Oxacillin,0.839466,,,0.67368,0.839998,,,0.728815,0.730665,,,0.791031,32110,,,,0.600816,interpretable,focal_signal_retained,1225,178,736,155,9,3,3,False
3,A-2018,Staphylococcus aureus,Penicillin,0.729213,,,0.86921,0.720635,,,0.830159,0.72194,,,0.712412,110634,,,,0.777778,interpretable,focal_signal_retained,1134,812,882,579,8,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.627773,,,0.179266,0.710227,,,0.0416628,0.710227,,,0.710227,528,,,,0.532738,interpretable,focal_signal_retained,336,14,179,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.612584,,,0.209856,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.602793,,,0.171049,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.558436,,,0.0704725,0.608743,,,0.101821,0.544262,,,0.557196,1084,,,,0.557803,interpretable,weak_raw_signal,346,20,193,10,2,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.536765,,,0.0324534,0.347985,,,0.0320441,0.347985,,,0.347985,273,,,,0.270115,caution_low_n_matched,caution_low_matched_support,348,8,94,3,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.824762,,,0.392561,0.871212,,,0.564861,0.871212,,,0.871212,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,3,3,False
3,DRIAMS-B,Staphylococcus aureus,Penicillin,0.658536,,,0.795148,0.666254,,,0.80088,0.665789,,,0.688064,16170,,,,0.83908,interpretable,focal_signal_retained,348,227,292,190,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.676682,,,0.166451,0.727333,,,0.206289,0.705891,,,0.613522,3964,,,,0.825203,interpretable,focal_signal_retained,738,33,609,23,4,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.51611,,,0.180299,0.483107,,,0.125648,0.484,,,0.514972,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.596307,,,0.0498606,0.629007,,,0.0632524,0.629357,,,0.623027,3422,,,,0.814132,interpretable,weak_raw_signal,651,17,530,11,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.48935,,,0.0206875,0.578081,,,0.0273148,0.518856,,,0.487472,1317,,,,0.607046,interpretable,weak_raw_signal,738,15,448,9,3,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.71764,,,0.223668,0.727074,,,0.203831,0.733367,,,0.762802,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,3,3,False
3,DRIAMS-C,Staphylococcus aureus,Penicillin,0.705811,,,0.879392,0.698825,,,0.864696,0.689898,,,0.681753,56189,,,,0.915989,interpretable,focal_signal_retained,738,547,676,488,5,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.695527,,,0.287321,0.693049,,,0.298508,0.662356,,,0.704834,44741,,,,0.844054,interpretable,focal_signal_retained,2161,138,1824,117,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.527941,,,0.419562,0.338462,,,0.663521,0.338462,,,0.338462,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.598503,,,0.270198,0.60482,,,0.254401,0.578011,,,0.572722,154115,,,,0.959078,interpretable,weak_raw_signal,1735,344,1664,302,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.578081,,,0.0300629,0.516838,,,0.0157967,0.485674,,,0.559147,4362,,,,0.547179,interpretable,weak_raw_signal,2162,25,1183,15,3,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Penicillin,0.72553,,,0.950577,0.72232,,,0.947791,0.716922,,,0.735668,86554,,,,0.940523,interpretable,focal_signal_retained,1530,1344,1439,1257,8,3,3,False
5,A-2018,Staphylococcus aureus,Ciprofloxacin,0.765865,,,0.512545,0.80089,,,0.558527,0.721371,,,0.73686,11568,,,,0.822485,interpretable,focal_signal_retained,1183,155,973,114,9,5,5,False
5,A-2018,Staphylococcus aureus,Clindamycin,0.588432,,,0.226873,0.539999,,,0.113385,0.545701,,,0.42238,6899,,,,0.712413,interpretable,weak_raw_signal,1144,149,815,77,6,5,5,False
5,A-2018,Staphylococcus aureus,Erythromycin,0.607152,,,0.260039,0.600534,,,0.233446,0.467319,,,0.480304,7362,,,,0.601045,interpretable,background_driven_collapse,1148,181,690,92,6,5,5,False
5,A-2018,Staphylococcus aureus,Fusidic acid,0.621753,,,0.0955449,0.644193,,,0.0908732,0.626021,,,0.652473,13081,,,,0.662295,interpretable,focal_signal_retained,1220,71,808,39,3,5,5,False
5,A-2018,Staphylococcus aureus,Gentamicin,0.643705,,,0.0559667,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1165,28,0,0,0,5,5,False
5,A-2018,Staphylococcus aureus,Oxacillin,0.839466,,,0.67368,0.837719,,,0.72587,0.726093,,,0.790701,32026,,,,0.577143,interpretable,focal_signal_retained,1225,178,707,147,7,5,5,False
5,A-2018,Staphylococcus aureus,Penicillin,0.729213,,,0.86921,0.72425,,,0.830915,0.727036,,,0.712546,110543,,,,0.748677,interpretable,focal_signal_retained,1134,812,849,553,6,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.627773,,,0.179266,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,336,14,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.612584,,,0.209856,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.602793,,,0.171049,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.558436,,,0.0704725,0.556818,,,0.0590219,0.556818,,,0.556818,1056,,,,0.526012,interpretable,weak_raw_signal,346,20,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.536765,,,0.0324534,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,8,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.824762,,,0.392561,0.871212,,,0.564861,0.871212,,,0.871212,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Penicillin,0.658536,,,0.795148,0.666254,,,0.80088,0.665789,,,0.688064,16170,,,,0.83908,interpretable,focal_signal_retained,348,227,292,190,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.676682,,,0.166451,0.725718,,,0.228371,0.701555,,,0.59142,3380,,,,0.621951,interpretable,focal_signal_retained,738,33,459,19,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.51611,,,0.180299,0.483107,,,0.125648,0.484,,,0.514972,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.596307,,,0.0498606,0.613606,,,0.0571766,0.613606,,,0.613606,2984,,,,0.585253,interpretable,weak_raw_signal,651,17,381,8,1,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.48935,,,0.0206875,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,738,15,0,0,0,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.71764,,,0.223668,0.727074,,,0.203831,0.733367,,,0.762802,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Penicillin,0.705811,,,0.879392,0.688337,,,0.860609,0.680576,,,0.681471,56133,,,,0.884824,interpretable,focal_signal_retained,738,547,653,472,3,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.695527,,,0.287321,0.710561,,,0.305996,0.676978,,,0.707935,44336,,,,0.792226,interpretable,focal_signal_retained,2161,138,1712,110,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.527941,,,0.419562,0.338462,,,0.663521,0.338462,,,0.338462,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.598503,,,0.270198,0.600851,,,0.244803,0.579922,,,0.572683,154073,,,,0.94755,interpretable,weak_raw_signal,1735,344,1644,290,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.578081,,,0.0300629,0.524476,,,0.0842342,0.524476,,,0.524476,1287,,,,0.0703053,caution_low_retention,caution_low_matched_support,2162,25,152,9,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Penicillin,0.72553,,,0.950577,0.721523,,,0.948229,0.719599,,,0.735556,86332,,,,0.894771,interpretable,focal_signal_retained,1530,1344,1369,1197,5,5,5,False
