site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
DRIAMS-B,Klebsiella pneumoniae,Ceftriaxone,0.509259,0.266667,0.64,0.150846,0.509259,0.286667,0.678571,0.150846,0.509259,0.27381,0.8,0.509259,108,0.588235,0.542037,0.169645,1,caution_low_n_matched,caution_low_matched_support,31,4,31,4,1,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Ceftriaxone,0.672439,0.516595,0.834805,0.265984,0.672439,0.49328,0.811275,0.265984,0.672439,0.510753,0.805797,0.672439,693,0.0392157,0.488312,0.101,1,caution_low_n_matched,caution_low_matched_support,74,11,74,11,1,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Ceftriaxone,0.596256,0.513914,0.700589,0.0825203,0.596256,0.508276,0.681867,0.0825203,0.596256,0.483051,0.660961,0.596256,10150,0.0392157,0.501434,0.0511625,1,interpretable,weak_raw_signal,431,25,431,25,1,3,3,False
