site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
DRIAMS-B,Staphylococcus aureus,Oxacillin,0.666667,0.458462,0.897059,0.113307,0.666667,0.422886,0.913043,0.113307,0.666667,0.298507,0.913043,0.666667,264,0.235294,0.536742,0.149913,1,caution_low_n_matched,caution_low_matched_support,70,4,70,4,1,3,3,False
DRIAMS-C,Staphylococcus aureus,Oxacillin,0.542857,0.278169,0.68913,0.0754869,0.542857,0.347518,0.764944,0.0754869,0.542857,0.372431,0.829371,0.542857,1120,0.27451,0.482161,0.10307,1,interpretable,weak_raw_signal,148,8,148,8,1,3,3,False
