site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
DRIAMS-B,Escherichia coli,Ceftriaxone,0.705882,0.545455,0.879085,0.381216,0.705882,0.591667,0.864286,0.381216,0.705882,0.514286,0.826705,0.705882,306,0.0392157,0.511242,0.0992394,1,caution_low_n_matched,caution_low_matched_support,43,9,43,9,1,3,3,False
DRIAMS-C,Escherichia coli,Ceftriaxone,0.693506,0.565878,0.813385,0.380436,0.693506,0.601571,0.794408,0.380436,0.693506,0.578365,0.81342,0.693506,4620,0.0196078,0.497974,0.0565081,1,interpretable,focal_signal_retained,184,30,184,30,1,3,3,False
DRIAMS-D,Escherichia coli,Ceftriaxone,0.67305,0.578407,0.747984,0.230854,0.67305,0.564656,0.75441,0.230854,0.67305,0.548886,0.792936,0.67305,14360,0.0196078,0.49694,0.0474607,1,interpretable,focal_signal_retained,399,40,399,40,1,3,3,False
