site,organism,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob,mean_prob_r,mean_prob_s,background_known_count,background_resistant_count,adequacy_label,interpretation
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden,1,319,138,181,0.768636,0.481291,0.643925,0.357293,4,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden,2,75,55,20,0.768182,0.703222,0.767503,0.526451,4,2,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden,3,61,47,14,0.674772,0.671629,0.717137,0.518851,3,3,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden,4,44,39,5,0.615385,0.79214,0.802437,0.711819,4,4,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden,5,8,8,0,,0.680608,0.680608,,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden_bin,multi,188,149,39,0.716572,0.712819,0.756094,0.547488,3,3,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden_bin,none,843,68,775,0.776015,0.327537,0.603906,0.303288,4,0,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,background_resistance_burden_bin,single,319,138,181,0.768636,0.481291,0.643925,0.357293,4,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,8,8,0,,0.680608,0.680608,,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,7,7,0,,0.795499,0.795499,,4,4,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,4,4,0,,0.453992,0.453992,,5,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.338295,0.338295,,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,3,3,0,,0.483695,0.483695,,3,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,15,15,0,,0.620572,0.620572,,5,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,1,1,0,,0.940576,0.940576,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.811132,0.811132,,5,4,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,1,1,0,,0.945455,0.945455,,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.614953,0.614953,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,5,5,0,,0.474738,0.474738,,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,36,36,0,,0.504999,0.504999,,5,1,underpowered_low_susceptible,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=S,1,1,0,,0.342206,0.342206,,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,0,2,,0.252908,,0.252908,5,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,0.77819,,0.77819,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,0.453505,,0.453505,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,0.184047,,0.184047,5,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,51,0,51,,0.285719,,0.285719,5,1,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,0.560802,,0.560802,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,291,0,291,,0.319543,,0.319543,5,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Ceftazidime=R|Cefepime=U,3,0,3,,0.579461,,0.579461,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,35,30,5,0.64,0.790382,0.803476,0.711819,4,4,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,5,3,2,0.333333,0.477234,0.490688,0.457053,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,30,22,8,0.6875,0.744685,0.796594,0.601933,3,3,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,7,7,0,,0.849173,0.849173,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,6,5,1,1,0.864656,0.937916,0.498356,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=R,7,7,0,,0.845886,0.845886,,3,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,4,0,4,,0.505741,,0.505741,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,16,9,7,0.793651,0.790132,0.894402,0.656072,2,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,0.509272,,0.509272,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,4,4,0,,0.971595,0.971595,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,145,37,108,0.741742,0.397342,0.577619,0.335581,4,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=U,3,3,0,,0.419709,0.419709,,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,9,2,7,0.857143,0.479951,0.693342,0.418982,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,7,5,2,0.6,0.703791,0.779602,0.514264,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,1,0,1,,0.276416,,0.276416,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,9,7,2,1,0.691742,0.827157,0.217788,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,3,3,0,,0.895069,0.895069,,4,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,6,3,3,0,0.870079,0.815857,0.924301,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,5,5,0,,0.48564,0.48564,,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,52,44,8,0.710227,0.792967,0.804171,0.731344,2,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,516,57,459,0.757253,0.312271,0.553104,0.282364,4,0,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,12,5,7,0.542857,0.755963,0.798743,0.725407,3,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,4,4,0,,0.844328,0.844328,,1,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Ciprofloxacin,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,24,6,18,0.962963,0.538456,0.924161,0.409887,3,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,0,291,0,291,,0.314881,,0.314881,5,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,1,92,37,55,0.692383,0.382626,0.510111,0.296864,3,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,2,27,23,4,0.597826,0.607358,0.616904,0.552468,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,3,12,10,2,0.8,0.439769,0.48304,0.223416,3,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,4,9,9,0,,0.832277,0.832277,,4,4,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden,5,8,8,0,,0.703535,0.703535,,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden_bin,multi,56,50,6,0.703333,0.621333,0.642759,0.442784,3,2,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden_bin,none,291,0,291,,0.314881,,0.314881,5,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,background_resistance_burden_bin,single,92,37,55,0.692383,0.382626,0.510111,0.296864,3,1,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,8,8,0,,0.703535,0.703535,,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,7,7,0,,0.82666,0.82666,,4,4,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,4,4,0,,0.438746,0.438746,,5,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.344349,0.344349,,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,3,3,0,,0.472,0.472,,3,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,15,15,0,,0.6393,0.6393,,5,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,1,1,0,,0.967282,0.967282,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.851935,0.851935,,5,4,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,1,1,0,,0.970714,0.970714,,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.647945,0.647945,,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,5,5,0,,0.467221,0.467221,,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,36,36,0,,0.515884,0.515884,,5,1,underpowered_low_susceptible,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=S,1,1,0,,0.302275,0.302275,,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,0,2,,0.223416,,0.223416,5,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,0.802111,,0.802111,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,0.453182,,0.453182,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,0.152469,,0.152469,5,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,51,0,51,,0.274112,,0.274112,5,1,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,0.568833,,0.568833,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,291,0,291,,0.314881,,0.314881,5,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Norfloxacin,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Ceftazidime=R|Cefepime=U,3,0,3,,0.592983,,0.592983,3,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,0,126,14,112,0.584184,0.44475,0.460705,0.442755,5,0,interpretable,borderline_in_stratum
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,1,5,0,5,,0.390471,,0.390471,5,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,2,22,2,20,0.675,0.552634,0.625499,0.545348,5,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,3,8,8,0,,0.436184,0.436184,,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,4,3,3,0,,0.417793,0.417793,,4,4,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden,5,34,34,0,,0.628386,0.628386,,5,5,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,multi,67,47,20,0.579787,0.571133,0.582106,0.545348,5,2,interpretable,borderline_in_stratum
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,none,126,14,112,0.584184,0.44475,0.460705,0.442755,5,0,interpretable,borderline_in_stratum
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,background_resistance_burden_bin,single,5,0,5,,0.390471,,0.390471,5,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,34,34,0,,0.628386,0.628386,,5,5,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,1,1,0,,0.478955,0.478955,,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,21,1,20,0.4,0.543577,0.508162,0.545348,5,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.449081,0.449081,,5,4,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,2,0,,0.252181,0.252181,,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,5,0,5,,0.390471,,0.390471,5,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,5,5,0,,0.50123,0.50123,,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,1,1,0,,0.742836,0.742836,,5,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,123,14,109,0.576016,0.448103,0.460705,0.446484,5,0,interpretable,borderline_in_stratum
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,3,0,3,,0.307274,,0.307274,4,0,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,1,1,0,,0.355215,0.355215,,4,4,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,0,124,0,124,,0.13653,,0.13653,5,0,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,1,20,0,20,,0.12255,,0.12255,4,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,2,22,0,22,,0.283093,,0.283093,5,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,3,8,6,2,0.25,0.266816,0.211466,0.432864,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,4,5,3,2,1,0.0605624,0.0963943,0.00681448,5,4,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden,5,34,34,0,,0.422671,0.422671,,5,5,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden_bin,multi,69,43,26,0.603757,0.333858,0.370437,0.273361,5,2,interpretable,signal_retained_in_stratum
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden_bin,none,124,0,124,,0.13653,,0.13653,5,0,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,background_resistance_burden_bin,single,20,0,20,,0.12255,,0.12255,4,1,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,34,34,0,,0.422671,0.422671,,5,5,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,2,1,1,0,0.137129,0.0917884,0.18247,5,3,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,20,0,20,,0.293188,,0.293188,5,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,2,0,2,,0.182141,,0.182141,4,2,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,4,2,2,1,0.0691396,0.131465,0.00681448,5,4,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,5,0,5,,0.0864539,,0.0864539,5,1,underpowered_low_n,do_not_overinterpret
