TGNR	code	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
130059-18	94170fba-fa0f-4253-8bcf-ffa5b44ae6d1	ERR10176739	SAMEA111331001	ERX9713208	2018	True	4
712246-18	9455037e-e547-4587-b8af-305986f0c321	ERR10177095	SAMEA111331367	ERX9713564	2018	True	4
130292-18	94f7a8aa-1e29-4df4-8e99-5eeb147457ff	ERR10176743	SAMEA111331005	ERX9713212	2018	True	0
127487-18	977623b7-8274-4e02-9ecc-c768dc9e33e6	ERR10176729	SAMEA111330991	ERX9713198	2018	True	4
127083-18	98512dec-d611-4e5d-8406-76823d9eac4b	ERR10176725	SAMEA111330987	ERX9713194	2018	True	4
128632-18	98a614a4-47c0-48b1-a51d-c3bdfa2a50af	ERR10176733	SAMEA111330995	ERX9713202	2018	True	4
713440-18	99a103ba-bae2-4eeb-b244-f1dc0b63c936	ERR10177149	SAMEA111331421	ERX9713618	2018	True	0
713999-18	99efd03c-f285-48d8-aa9e-be9d6d543a16	ERR10177171	SAMEA111331443	ERX9713640	2018	True	0
130912-18	9a6f7088-14a2-416b-aa44-9c9ad32ae4c2	ERR10176756	SAMEA111331018	ERX9713225	2018	True	0
712328-18	9afb968c-0943-473e-bee0-ad75a97589f0	ERR10177102	SAMEA111331374	ERX9713571	2018	True	4
131676-18	9c4e5fbc-2646-4abe-a3f0-74ab6bff737c	ERR10176766	SAMEA111331028	ERX9713235	2018	True	0
127487-18	9c6a1327-de7b-4ec8-afe4-5f612d87e57f	ERR10176729	SAMEA111330991	ERX9713198	2018	True	4
712328-18	9f1528a4-0c88-4027-a608-26320fa05bef	ERR10177102	SAMEA111331374	ERX9713571	2018	True	4
714140-18	a33699f9-c37f-429c-bdcc-735481a0d569	ERR10177180	SAMEA111331452	ERX9713649	2018	True	0
713751-18	a798632a-9173-4d66-961c-6f5ad5c02684	ERR10177156	SAMEA111331428	ERX9713625	2018	True	0
131196-18	a81836f2-ef73-4aa7-a419-d3eda2c234e4	ERR10176760	SAMEA111331022	ERX9713229	2018	True	0
