isolate_id	inferred_year	run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_1	fastq_2	submitted_fastq_1	submitted_fastq_2	bam_ftp
719670-19	2019	ERR10177365	SAMEA111331637	ERX9713834	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/065/ERR10177365/ERR10177365_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/065/ERR10177365/ERR10177365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177365/719670-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177365/719670-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/065/ERR10177365.bam
719705-19	2019	ERR10177367	SAMEA111331639	ERX9713836	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10177367/ERR10177367_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10177367/ERR10177367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177367/719705-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177367/719705-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/067/ERR10177367.bam
719860-18	2018	ERR10177380	SAMEA111331652	ERX9713849	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/080/ERR10177380/ERR10177380_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/080/ERR10177380/ERR10177380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177380/719860-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177380/719860-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/080/ERR10177380.bam
719863-18	2018	ERR10177381	SAMEA111331653	ERX9713850	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/081/ERR10177381/ERR10177381_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/081/ERR10177381/ERR10177381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177381/719863-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177381/719863-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/081/ERR10177381.bam
719996-18	2018	ERR10177392	SAMEA111331664	ERX9713861	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/092/ERR10177392/ERR10177392_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/092/ERR10177392/ERR10177392_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177392/719996-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177392/719996-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/092/ERR10177392.bam
720003-18	2018	ERR10177394	SAMEA111331666	ERX9713863	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/094/ERR10177394/ERR10177394_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/094/ERR10177394/ERR10177394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177394/720003-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177394/720003-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/094/ERR10177394.bam
720012-18	2018	ERR10177395	SAMEA111331667	ERX9713864	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/095/ERR10177395/ERR10177395_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/095/ERR10177395/ERR10177395_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177395/720012-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177395/720012-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/095/ERR10177395.bam
720024-19	2019	ERR10177397	SAMEA111331669	ERX9713866	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10177397/ERR10177397_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10177397/ERR10177397_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177397/720024-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177397/720024-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/097/ERR10177397.bam
720030-19	2019	ERR10177398	SAMEA111331670	ERX9713867	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/098/ERR10177398/ERR10177398_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/098/ERR10177398/ERR10177398_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177398/720030-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177398/720030-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/098/ERR10177398.bam
720086-19	2019	ERR10177403	SAMEA111331675	ERX9713872	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10177403/ERR10177403_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR10177403/ERR10177403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177403/720086-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177403/720086-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR10177403.bam
720104-18	2018	ERR10177405	SAMEA111331677	ERX9713874	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR10177405/ERR10177405_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR10177405/ERR10177405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177405/720104-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177405/720104-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR10177405.bam
